,Building,Class,Actual_Enrl,Start_H,End_H,Latitude,Longitude
174,PNT,,42,16,18,679345.2322569999,7642439.43789
175,PNT,,32,16,19,679345.2322569999,7642439.43789
176,PNT,,23,18,20,679345.2322569999,7642439.43789
177,SB1,,62,10,11,680960.596738,7641768.74235
178,SB1,,20,10,13,680960.596738,7641768.74235
179,SB1,,65,12,13,680960.596738,7641768.74235
180,SB1,,146,14,15,680960.596738,7641768.74235
181,SB1,,25,15,16,680960.596738,7641768.74235
182,SB1,,84,16,18,680960.596738,7641768.74235
183,SEC,,12,9,11,678762.0050939999,7642562.06508
184,SEC,,34,10,11,678762.0050939999,7642562.06508
185,SEC,,6,12,13,678762.0050939999,7642562.06508
186,SEC,,4,13,13,678762.0050939999,7642562.06508
187,SEC,,9,13,15,678762.0050939999,7642562.06508
188,SEC,,17,16,18,678762.0050939999,7642562.06508
189,SEC,,11,17,21,678762.0050939999,7642562.06508
190,SEH,,83,10,11,680669.6716560001,7641270.5697800005
191,SEH,,42,12,13,680669.6716560001,7641270.5697800005
192,SEH,,56,14,15,680669.6716560001,7641270.5697800005
193,SEH,,31,16,18,680669.6716560001,7641270.5697800005
194,SEH,,14,17,18,680669.6716560001,7641270.5697800005
195,SEH,,9,17,21,680669.6716560001,7641270.5697800005
196,SH,,58,9,11,679795.846701,7642013.91022
197,SH,,145,10,11,679795.846701,7642013.91022
198,SH,,201,12,13,679795.846701,7642013.91022
199,SH,,17,12,14,679795.846701,7642013.91022
200,SH,,16,13,16,679795.846701,7642013.91022
201,SH,,167,14,15,679795.846701,7642013.91022
202,SH,,12,14,16,679795.846701,7642013.91022
203,SH,,17,15,17,679795.846701,7642013.91022
204,SH,,14,16,18,679795.846701,7642013.91022
205,SH,,58,17,18,679795.846701,7642013.91022
206,SH,,11,18,20,679795.846701,7642013.91022
207,SH,,27,18,21,679795.846701,7642013.91022
208,SRTC,,41,8,9,680741.5574630001,7641704.5849399995
209,SRTC,,7,8,11,680741.5574630001,7641704.5849399995
210,SRTC,,18,9,9,680741.5574630001,7641704.5849399995
211,SRTC,,34,9,11,680741.5574630001,7641704.5849399995
212,SRTC,,241,10,11,680741.5574630001,7641704.5849399995
213,SRTC,,17,11,14,680741.5574630001,7641704.5849399995
214,SRTC,,195,12,13,680741.5574630001,7641704.5849399995
215,SRTC,,55,12,14,680741.5574630001,7641704.5849399995
216,SRTC,,19,13,15,680741.5574630001,7641704.5849399995
217,SRTC,,30,13,16,680741.5574630001,7641704.5849399995
218,SRTC,,277,14,15,680741.5574630001,7641704.5849399995
219,SRTC,,16,14,16,680741.5574630001,7641704.5849399995
220,SRTC,,15,14,17,680741.5574630001,7641704.5849399995
